var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_2,1,1,56
g_98,0,16,28
g_99,0,2,13
g_110,3,3,1
g_158,1,5,9
g_185,2,5,9
g_186,0,1,2
g_196,1,6,16
g_197,1,2,1
g_208,0,2,12
g_210,2,1,2
g_214,0,1,20
g_228,0,0,0
g_229,1,2,3
g_290,1,1,0
g_291,0,0,10
g_292,2,2,10
g_298,3,3,13
g_394,1,3,8
g_399,0,1,4
g_493,0,0,4
g_526,0,0,1
g_528,1,1,6
g_530,0,1,1
g_561,0,2,6
g_626,0,1,2
g_634,0,0,7
g_636,0,0,3
g_637,0,0,2
g_638,0,0,0
g_647,0,3,5
g_741,0,0,0
g_742,0,0,0
g_781,0,0,0
g_916,0,0,2
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,42,0
_IO_stdin_used,0,0,0
