var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_237,1,0,3
g_6,0,0,17
g_46,1,2,116
g_55,0,0,37
g_57,1,1,1
g_69,1,2,6
g_71,0,0,3
g_94,0,0,37
g_108,0,1,4
g_151,0,0,3
g_194,0,0,0
g_201,0,0,1
g_204,1,0,1
g_206,0,0,1
g_208,0,0,10
g_227,0,0,2
g_250,0,0,1
g_236,0,0,8
g_279,0,0,0
g_221,0,0,5
g_220,0,0,0
g_280,0,0,0
g_222,0,0,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,16,0
_IO_stdin_used,0,0,0
