name, constant_write, var_write, read
crc32_tab, 0, 0, 0
crc32_context, 0, 0, 0
__undefined, 0, 0, 0
g_16, 2, 1, 12
g_45, 5, 1, 9
g_44, 2, 3, 9
g_70, 0, 0, 0
g_73, 0, 1, 0
g_76, 0, 0, 0
g_79, 4, 2, 5
g_115, 2, 2, 0
g_117, 0, 0, 0
g_122, 0, 0, 1
g_152, 1, 1, 0
g_154, 1, 1, 0
g_168, 1, 1, 0
g_181, 0, 0, 0
g_184, 1, 0, 8
g_183, 0, 0, 3
g_182, 0, 0, 6
g_202, 3, 1, 8
g_246, 0, 0, 0
g_266, 1, 0, 4
g_301, 1, 0, 9
g_358, 0, 0, 11
g_357, 0, 0, 0
g_356, 0, 0, 1
g_355, 0, 0, 10
g_362, 1, 0, 1
g_474, 0, 0, 0
g_473, 0, 0, 0
g_472, 0, 0, 0
g_471, 0, 0, 2
g_487, 0, 0, 0
g_486, 0, 0, 13
g_552, 1, 0, 13
g_681, 0, 0, 1
g_686, 0, 2, 0
g_695, 1, 0, 3
g_700, 6, 1, 4
g_825, 1, 2, 0
g_849, 1, 0, 3
g_890, 0, 0, 1
g_898, 0, 0, 0
g_897, 0, 0, 2
g_999, 0, 0, 0
g_998, 0, 0, 0
g_997, 0, 0, 0
g_1126, 0, 0, 0
_DYNAMIC, 0, 0, 0
_GLOBAL_OFFSET_TABLE_, 0, 0, 0
csmith_sink_, 0, 20, 0
_IO_stdin_used, 0, 0, 0
