name, constant_write, var_write, read
crc32_tab, 0, 0, 0
crc32_context, 0, 0, 0
__undefined, 0, 0, 0
g_2, 2, 1, 6
g_18, 3, 2, 0
g_38, 0, 0, 3
g_37, 2, 0, 17
g_42, 0, 0, 0
g_50, 1, 0, 0
g_60, 3, 1, 3
g_65, 1, 2, 0
g_67, 1, 1, 0
g_121, 0, 0, 0
g_123, 0, 0, 0
g_125, 0, 0, 0
g_127, 0, 0, 0
g_132, 0, 0, 1
g_200, 1, 1, 0
g_219, 0, 0, 0
g_218, 1, 0, 6
g_224, 1, 0, 3
g_248, 3, 2, 3
g_283, 1, 2, 0
g_290, 0, 0, 0
g_316, 0, 0, 0
g_317, 1, 0, 1
g_319, 3, 2, 2
g_338, 1, 0, 0
g_374, 0, 1, 0
g_385, 1, 0, 0
g_413, 0, 0, 2
g_412, 0, 0, 10
g_491, 2, 0, 0
g_523, 1, 0, 0
g_531, 0, 0, 0
g_530, 0, 0, 2
g_557, 0, 1, 0
g_583, 1, 1, 0
g_612, 1, 0, 1
g_667, 0, 1, 0
g_692, 0, 1, 0
g_696, 1, 0, 0
__PRETTY_FUNCTION__.0, 0, 0, 0
_DYNAMIC, 0, 0, 0
_GLOBAL_OFFSET_TABLE_, 0, 0, 0
csmith_sink_, 0, 31, 0
_IO_stdin_used, 0, 0, 0
