var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_12,0,8,4
g_14,0,0,34
g_19,0,0,1
g_52,0,0,11
g_56,0,12,30
g_75,0,0,7
g_80,0,8,1
g_83,0,1,44
g_92,0,0,2
g_98,0,0,43
g_103,0,0,6
g_114,0,0,3
g_121,0,1,41
g_174,0,0,1
g_196,0,1,2
g_331,0,1,0
g_359,0,0,0
g_368,0,0,3
g_371,0,1,3
g_378,0,0,1
g_428,0,1,3
g_578,0,0,9
g_579,0,0,1
g_591,0,0,2
g_626,0,0,0
g_719,0,1,0
g_869,0,0,2
g_893,0,0,1
g_895,0,0,11
g_897,0,0,1
g_1003,0,0,0
g_1006,0,0,2
g_1043,0,0,1
g_1061,0,0,0
g_1240,0,0,2
g_1248,0,0,1
g_1257,0,0,0
g_1262,0,0,1
g_1284,0,0,0
g_1419,0,0,1
g_1492,0,0,2
g_1535,0,0,1
g_1649,0,1,2
crc32_context,0,4,52
crc32_tab,0,0,5
g_1330,0,0,3
g_13,0,0,19
g_377,0,0,14
g_466,0,0,4
g_465,0,0,4
g_1329,0,0,4
g_1331,0,0,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
_IO_stdin_used,0,0,0
