      program_name  constant_write  var_write  read
0     program_5167               0          4    47
1      program_455               1         21   104
2     program_7584               8         72   155
3     program_2769              11         52   229
4     program_3284              20         83   228
5     program_8517               2          6    43
6     program_6627               3         14   128
7     program_4402              12         61   249
8     program_1548               4         11   124
9     program_2304              11         48   192
10     program_484               1         13   106
11     program_380               2         16   183
12    program_2808               1          4    58
13    program_2879               5         16   261
14    program_7357               1         10    78
15    program_1215               6         34   191
16    program_1957              22         48   438
17    program_8786              11         31   239
18    program_4346               8         15   251
19    program_1979              14         40   342
20    program_9683              10         46   223
21    program_6779               1         30    26
22    program_3521               7         12   235
23    program_2781              11         15   174
24    program_5372               0         14    14
25    program_2442               4         27    28
26    program_4113               0          5   151
27    program_8322               4         12    86
28    program_1626               8         17   123
29    program_7590               0         26    22
30    program_1712               6         54   172
31    program_6570               1         22    23
32    program_5270              10         42   251
33    program_7193               8         21   321
34    program_9554              19         96   646
35    program_3601               1          8    67
36    program_7043               3         35   290
37    program_3499               9         28   621
38    program_3822               5         11   172
39    program_7056              11         34   266
40    program_8284              23         31   265
41     program_830              23        124   175
42    program_6927               2         21    19
43    program_1076               6         14   479
44    program_9404              14         39   124
45    program_3550               7         33   145
46    program_9151              17         62   392
47     program_250               9         22   362
48    program_2723               1          6     7
49     program_659              13         29   155
50    program_5038               1         10    93
51    program_6338               1         12    84
52    program_2883              22         87   324
53    program_3481              22        154   383
54    program_2223               6         26   149
55    program_1144              11         28   294
56     program_569               2         17   165
57    program_7176              13        162   227
58    program_2783               0          0    13
59    program_3716              10         33   283
60    program_9607               5         18    74
61    program_2880              14        117   273
62    program_7962              14         61   104
63    program_6722              26         42   364
64     program_843              15         43   311
65    program_9600              17         31   475
66    program_9743               9         25   255
67    program_6728              11         75   147
68    program_7105               7         39   131
69    program_5770              20        205   378
70    program_3993               0          4    44
71    program_7116               8         39   263
72    program_9929               0          4    60
73    program_2834               9         22   118
74    program_5751              15         43   262
75    program_5020               1          5    48
76    program_4236               9        114   156
77    program_6569               9         40   129
78    program_6270               1         18    15
79    program_2775              12        173   317
80    program_9252               8         37   110
81    program_2053               7         39   175
82    program_4749              11         21   378
83    program_3494              21         44   361
84    program_3259               1          5    69
85    program_6496               1         22    29
86    program_7793              13         22   190
87    program_9714               3         14   115
