      program_name  constant_write  var_write  read
0      program_502              10         28   220
1     program_6761               4         74   174
2     program_2073               1         26    26
3      program_700               5         23   133
4     program_7199              11         34    99
5     program_4023               5         12   227
6     program_3267               1         26    19
7     program_9475              10         42   259
8      program_267               3          9    59
9     program_4221               5          9   135
10     program_530               0          8    45
11     program_654               6         55   222
12    program_1098               1          8    12
13    program_7174              23        134   146
14     program_189               3          7   392
15    program_3092               4         22    14
16    program_4056              28         35   340
17    program_7304               1         19    87
18    program_3374               0          8    55
19    program_9668               9         43   125
20    program_1889              13         72   175
21    program_3761              10         38   235
22    program_6316              18         93   281
23    program_4614              17        144   288
24     program_746              18         43   273
25    program_7800               5         21   413
26    program_5545               3         17   133
27    program_2577               0         10    32
28    program_1682               6         29   540
29    program_4664              22         65   308
30    program_6477               1          7    56
31    program_8169              13         60   478
32      program_35              19         36   352
33    program_4407               6         15   123
34    program_5419              14        118   185
35      program_81               8         55   175
36    program_1708               2         49   191
37    program_7292               1          4   190
38    program_8595               8         47   346
39    program_1299              10         20   440
40    program_5839               5          9    16
41    program_1554               7         14   208
42    program_8045               9        139    65
43    program_6639              12         13   324
44    program_4310               1         10    36
45    program_4476               6         39   395
46    program_6827               4         33    53
47    program_8974               6         15   116
48    program_3195               1          9    59
49    program_1705               4         51    28
50    program_5003               7        115   267
51    program_1650              14        113   141
52    program_1799              21        238   266
53    program_9575               2         10   301
54    program_3414              14         82   191
55    program_9006              20        110   212
56    program_9607               5         18    74
57    program_4864              19        107   211
58    program_3920               9         27   311
59    program_7434               4         11   165
60    program_5718              13         77   289
61    program_9087              29         64   285
62    program_8998              17        108   145
63    program_8310               7         48   130
64    program_5582              18         85   230
65    program_3899               2          9    81
66    program_4990              12         21   266
67    program_6031              17         20   278
68     program_196              21         88   255
69    program_6099               0          4    34
70    program_9085               3          8    17
71    program_9609              10         21   203
72    program_8424               9         41    18
73     program_547               7         29   121
74    program_6191              16        137   219
75    program_1337               2         14     9
76    program_6315              30         58   408
77    program_7435               2          7   139
78    program_3314               9         27   452
79    program_9077              11         17   251
80    program_7543              13         25   409
81    program_1455              13         50   406
82    program_9187               8         16   332
83    program_3421              11         18   357
84    program_5336               0         25    20
85    program_8787               8         17   230
86    program_9936               4         12   129
87     program_941              12        110   271
88    program_1320               4         46   315
89    program_5382              13         25   425
