      program_name  constant_write  var_write  read
0      program_502               0         66     2
1     program_6761              16        374     9
2     program_2073              25          0     0
3      program_700              15          5     3
4     program_7199              21         12     6
5     program_4023              10          4     7
6     program_3267              25          0     0
7     program_9475               5          0     0
8      program_267               4          5     2
9     program_4221               1         25     2
10     program_530               0         95     2
11     program_654               0        145     5
12    program_1098               7          0     0
13    program_7174              24          2     1
14     program_189               0          8     2
15    program_3092              24          0     0
16    program_4056              18         23     9
17    program_7304               8         93     4
18    program_3374               0        191     2
19    program_9668               9          1     0
20    program_1889              27          6     2
21    program_3761               0         79     2
22    program_6316              22         11     0
23    program_4614               5        284    16
24     program_746              54         48    17
25    program_7800              12          1     0
26    program_5545               4          8     7
27    program_2577              10          0     0
28    program_1682               5        330     6
29    program_4664              29          4     3
30    program_6477               2          8     4
31    program_8169               0         48     4
32      program_35              22        299    17
33    program_4407               0          8    10
34    program_5419              66         57    16
35      program_81               6        383    11
36    program_1708              35         14     5
37    program_7292               3          0     0
38    program_8595              24          7     6
39    program_1299              13        209    30
40    program_5839               6          4     2
41    program_1554               1        152     2
42    program_8045              92          0     0
43    program_6639               5          0     0
44    program_4310               0         36     2
45    program_4476               6        381    12
46    program_6827              27         11     4
47    program_8974               3        308     9
48    program_3195               0        104     2
49    program_1705              71         14     9
50    program_5003               0        160     6
51    program_1650              27          1     1
52    program_1799             122         22     3
53    program_9575               6        334    18
54    program_3414               9         95     6
55    program_9006              25          1     0
56    program_9607              14          1     0
57    program_4864              23          0     0
58    program_3920               0         90     2
59    program_7434               0         80     2
60    program_5718              17          0     0
61    program_9087               0         65     4
62    program_8998              38          0     0
63    program_8310               2        248     7
64    program_5582               0        227     2
65    program_3899               1        204     7
66    program_4990               3         41     6
67    program_6031               4         47    10
68     program_196              16        453    26
69    program_6099               0         27     2
70    program_9085               6          1     0
71    program_9609              18          9     3
72    program_8424              50          0     0
73     program_547              11          2     0
74    program_6191              42          2     0
75    program_1337              10         12     3
76    program_6315              27          2     1
77    program_7435               6         48     6
78    program_3314               3        103     6
79    program_9077               4        101     4
80    program_7543               6          1     1
81    program_1455              55         34    28
82    program_9187               5         21    19
83    program_3421              23         12    15
84    program_5336              25          0     0
85    program_8787              11         12    11
86    program_9936               4          7     3
87     program_941               0        116     2
88    program_1320               2        270     9
89    program_5382               6          9     9
90    program_5659              20         24     9
91    program_8164              42          5     5
92    program_8767               0        143     3
93    program_9568              10         17     5
94    program_1779              14        157     7
95    program_1334              13          0     0
96    program_4643               1        105     3
97    program_6054              17         17     8
98     program_150               7         82    12
99    program_9293               0        207     2
100   program_2762               6          0     0
101   program_7141              29        243    23
102   program_9397               0         78     2
103   program_5089              15          0     0
104   program_7424               0        309     2
105   program_5242               0         47    10
106   program_3250              45        619   103
107   program_2623               0          0     2
108   program_6602              15         13    13
109   program_9474              78         58    33
110     program_55              39         23    10
111   program_7024              25          4     1
112   program_5305               0        104     2
113   program_1769              79         52    30
114   program_2736               0        223     2
115   program_6820              28          8     5
116   program_8245              16          0     0
117   program_1398               0         27     7
118   program_9659               8          1     3
119   program_8434               0        344     4
120   program_7440              34          0     0
121   program_3080              11        122    13
122   program_5840              24          6     0
123   program_5135              25         11     9
124   program_9420              23          0     0
125   program_8447               0         34     6
126   program_7242              22          5     0
127     program_67               2         67     5
128   program_2733              57         26    17
129   program_2168               5          2     1
130   program_4153              14          4    12
131   program_2565              39         40    11
132   program_5199              20          0     0
133   program_7049               0        212     2
134   program_8561              44         21    18
135   program_9700               6         39    30
136    program_947              38          0     0
137    program_634              25         11     0
138   program_6822              82          3     5
139   program_4713              49         32    15
140    program_176               0         96     2
141   program_2544               2         71     7
142   program_7107               0         91     2
143   program_2741               5        213    13
144   program_6543               0         48     2
145   program_2800              29          0     0
146   program_2443              38         12     5
147   program_9512               0         96     5
148   program_8831              10          1     2
149   program_5968              25          5     2
150   program_4778              68         13     9
151   program_1479               6        160    13
152   program_5475              20          8     3
153   program_7990              54         35    26
154   program_5469               7          8     4
155    program_857              45         20     2
156   program_6817              10        173     7
157   program_7066               0        176     2
158   program_3229              15          7     0
159   program_3861               9          4     0
160     program_87              18         11     1
161   program_6130               0         60     2
162   program_5346              30          0     0
163   program_2764              21        252    35
164     program_97               5        180     3
165   program_9665              21          0     0
166   program_2221              32          0     0
167   program_1527              14          0     0
168   program_7888              18          3     1
169   program_4089               0        284     4
170   program_2611              27          8     3
171   program_7875               6          6     2
172   program_5943              15         27    12
173   program_4856              28          6    28
174   program_2470               2        176     2
175   program_2792               0        214     2
176   program_5212               0         58     5
177    program_826              11        333    32
178   program_8479               9        146     7
179   program_2045               6          5     2
180   program_4426              18         13    10
181   program_3510              91         36     6
182   program_6609              29          0     0
183   program_2390              36        182    65
184   program_9996              39          0     0
185   program_9353              34          0     0
186   program_3642              27         13     7
187   program_7044               0        198     2
188    program_560              13          2     1
189   program_5779               2         31    12
190   program_5726              22          9     3
191   program_6198               1        123     4
192   program_1448              28          0     0
193   program_8226               2        530     2
194   program_3400               4          0     0
195   program_4457              15          8     0
196    program_938               4          6     2
197   program_5205               6         40    16
198   program_3780               6        104     5
199   program_1160               0         35     2
200   program_8182               0        185     2
201   program_3749              20          0     0
202   program_3088               0         26    11
203   program_2428               7         29    12
204   program_6102               0         15     6
205   program_1731               0         32     2
206   program_7696               0        102     2
207   program_2552               0         18     4
208   program_7892              14          6     0
209   program_8217               0        125     2
210   program_2546               1         59     2
211   program_8235              13          0     0
212   program_8053               6         74     6
213     program_93              24          0     0
214    program_753               3          2     4
215   program_9058               6          9     8
216   program_5101               0        158     2
217   program_7365               0        338     3
218   program_8920               1         64     2
219    program_693              19        292    23
220   program_9839               7          0     0
221   program_6312              21          0     0
222   program_2216              23          4     1
223   program_6807              49         19     0
224   program_1964              31          4     1
225    program_149               0        142     2
226    program_770               3         25     7
227   program_4440               0        112     2
228   program_4830               0         99     3
229   program_6246               3         19     5
230   program_8201               0        119     2
231   program_2659              24          7     3
232   program_1695               9          3     0
233   program_9715               0        146     2
234   program_9267               0        159     2
235   program_5476              27          0     0
236   program_5249               0        160     2
237   program_8883              17          4     4
238   program_5367              28          1     0
239   program_8057               0        142     2
240    program_930              20         22    52
241   program_4207              37          4     4
