      program_name  constant_write  var_write  read
0     program_5167               0          4     5
1      program_455               1          9    10
2     program_7584              24         11     5
3     program_2769              15          3     0
4     program_3284              12         11     5
5     program_8517               1          4     6
6     program_6627               6         10    16
7     program_4402               3         10    10
8     program_1548               5          2    11
9     program_2304              15          1     0
10     program_484               3          4     8
11     program_380               2         10    11
12    program_2808               1          4     5
13    program_2879               2         11    14
14    program_7357               8          3    23
15    program_1215              24          5     4
16    program_1957              25         44    34
17    program_8786              30         35    26
18    program_1979              15         19    30
19    program_9683               2          8     9
20    program_6779              71          4     0
21    program_3521              11         10    22
22    program_2781              12          5     8
23    program_5372              21          7     2
24    program_2442              22          6     2
25    program_4113               3          2     3
26    program_8322               3         10    14
27    program_1626               6          8    12
28    program_7590              26          0     0
29    program_1712               0          4     5
30    program_6570              27         11     0
31    program_5270              84         48    12
32    program_7193               8          9    28
33    program_9554              28         42    30
34    program_3601               4          8    10
35    program_7043               3          8    27
36    program_3499              19         11    62
37    program_3822               7          5    34
38    program_7056               2          4     9
39    program_8284              21         18     6
40     program_830              18         14     6
41    program_6927              21          2     0
42    program_1076               4         14    21
43    program_9404              12          2     0
44    program_3550               8          9     9
45    program_9151              60         25    29
46     program_250               3         13    51
47    program_2723               5          1     0
48     program_659              36         12    18
49    program_5038               4          9    12
50    program_6338               3          8    10
51    program_2883              36          5     1
52    program_3481              22         21    16
53    program_2223              32         21    30
54    program_1144               7         11    21
55     program_569               1          8    10
56    program_7176              64         51    22
57    program_2783              16         61     9
58    program_3716               2          3     4
59    program_9607              19          0     0
60    program_2880              57         79    58
61    program_7962              38         21     0
62    program_6722              16          9    32
63     program_843               3          5    13
64    program_9600               9         17    37
65    program_9743              24         41    60
66    program_6728              32         35    12
67    program_7105               4          9     9
68    program_5770              19         22     6
69    program_3993               2          4     5
70    program_7116               1          8     9
71    program_9929               1          4     8
72    program_2834              44         14     7
73    program_5751              18          2     0
74    program_5020               1          4     5
75    program_4236              38         66    16
76    program_6569               3         10    10
77    program_6270              18          0     0
78    program_2775              53         68    17
79    program_9252               4          8     9
80    program_2053              28          8     6
81    program_4749               1          8    11
82    program_3494              15          9     6
83    program_3259               3          4    12
84    program_6496              14          8     0
85    program_7793              24          6    13
86    program_9714              10          8     9
87    program_9899              53         23    22
88    program_8338               0          4     7
89    program_1914              10          0     0
90    program_3180               1          5     8
91    program_3792              75         34    55
92    program_9364               5          9    14
93    program_6486              15          8     7
94    program_3894               3          8    11
95    program_9965               4         10     9
96    program_6710               9          9    12
97    program_9062              27          9     3
98    program_4280              27         15     4
99    program_9776              42          3     0
100   program_1098               8          4     1
101    program_501              13         19    11
102   program_8961              14          7    22
103   program_3659              43         33     9
104   program_4812               6          5    17
105   program_6006              13         12    15
106   program_7477              50         42     8
107   program_5178               1          4    13
108   program_9955              20          4     0
109   program_4732              47         25     5
110   program_9040              10          3    44
111   program_3229              22         24     9
112   program_5704               3          5     6
113   program_2657              20          3     2
114   program_1280              34         41     2
115   program_9316               2          8    10
116   program_6436               0          8     9
