      program_name  constant_write  var_write  read
246   program_2410              18          5     9
247   program_3814               0          0     0
248   program_2973               0          0     0
249   program_6889               0          0     0
250   program_1073               6          0     0
251   program_7513               0          0     0
252   program_5923               0          0     0
253   program_1234               0          0     0
254   program_8313               0          0     0
255   program_6876               0          0     0
256   program_3863               0          0     0
257   program_1091              22          6     1
258   program_6632               0          0     0
259   program_7020               0          0     0
260   program_4395              40         19     3
261   program_1567               0          0     0
262   program_9054              33         77    10
263   program_7623              64         45    22
264    program_869               0          0     0
265   program_1840               0          0     0
266   program_2982               0          0     0
267   program_8525              38         32    11
268   program_1327              17          5     1
269    program_877              10          0     2
270    program_571               0          0     0
271   program_1958               0          0     0
272   program_2240               0          0     0
273   program_9049               0          0     0
274   program_1213              36          0     0
275   program_9221              25         15     6
276   program_1986              72         83     8
277   program_6322               0          0     0
278   program_7992              27          6     5
279   program_9028               0          0     0
280   program_3126              12          0     0
281   program_8809               0          0     0
282   program_8398             168         13     6
283   program_6468              49         10     5
284   program_4759               0          0     0
285   program_4287               0          0     0
286   program_1740               0          0     0
287   program_5057               8          1     3
288   program_2888               0          0     0
289   program_2529               0          0     0
290    program_661              43        121    24
291   program_3523               0          0     0
292   program_7455              25         14     0
293   program_2180              43          4     6
294   program_2869               0          0     0
295   program_5763              38         18     6
296   program_7606               0          0     0
297   program_1650              33         27     6
298   program_1891               3          1     1
299   program_6870               0          0     0
300   program_8777              10          0     0
301   program_7599               0          0     0
302   program_7767              31          6     2
303    program_496              61          8     2
304   program_9080               0          0     0
305   program_8744              16         19    20
306   program_4844              18         95     0
307   program_6051               0          0     0
308   program_4724               0          0     0
309   program_5614              45          6     5
310   program_8838               5          7     7
311   program_3748               0          0     0
312   program_1853             128          1     1
313   program_7804               0          0     0
314   program_1864              43         10     3
315   program_8634               0          0     0
316   program_2628              26          9     5
317   program_3066              34          0     0
318   program_7595              28         13     4
319   program_3552              42         20     6
320   program_2522               0          0     0
321   program_5775              20         59     0
322   program_9885               0          0     0
323   program_4671               0          0     0
324   program_9065               0          0     0
325   program_5705               0          0     0
326   program_8453              16          0     0
327   program_9150              16          1     2
328   program_8597               0          0     0
329   program_7504               0          0     0
330   program_8095               0          0     0
331   program_7691              20          1     1
332   program_3848               0          0     0
333   program_1506              17         31     6
334   program_4414               0          0     0
335   program_4755               0          0     0
336   program_7963              58         17    13
337    program_254               0          0     0
338   program_3471               0          0     0
339   program_3615               0          0     0
340   program_7952               0          0     0
