,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
8502,55,35,33,33,46,24,23,23
8503,44,23,23,23,35,12,12,12
8504,38,14,12,12,36,10,10,10
8505,44,16,10,10,43,10,10,10
8506,33,25,18,18,29,10,10,10
8507,39,18,18,18,34,11,9,9
8508,37,12,12,11,29,12,10,10
8509,29,22,20,20,20,15,12,12
8510,27,17,17,17,24,12,12,12
8511,61,20,20,20,46,10,10,10
8512,46,29,28,28,36,17,14,14
8513,60,18,18,18,34,16,14,14
8514,30,20,20,20,24,19,18,18
8515,34,19,17,16,33,12,12,12
8516,22,15,14,14,18,11,9,9
8517,26,22,22,20,24,14,14,14
8518,42,32,28,28,39,9,9,9
8519,43,35,29,29,42,20,15,15
8520,43,31,28,28,32,18,15,15
8521,39,21,20,20,29,15,15,15
8522,27,14,14,14,26,10,10,10
8523,37,21,15,15,26,9,9,9
8524,34,21,21,21,30,16,14,14
8525,37,9,9,9,34,9,9,9
8526,37,26,23,23,34,13,13,13
8527,24,15,15,15,21,15,15,15
8528,30,16,16,16,19,12,12,12
8529,53,33,30,30,50,26,25,25
8530,26,16,16,16,23,12,11,11
8531,41,22,22,22,40,17,14,14
8532,42,27,22,22,37,13,13,13
8533,42,14,11,11,40,10,10,10
8534,30,11,10,10,25,10,10,10
8535,73,40,38,38,68,22,21,21
8536,33,23,22,22,22,13,13,13
8537,45,29,29,29,44,18,17,17
8538,23,14,12,12,19,11,11,11
8539,27,18,18,18,24,20,18,18
8540,46,30,24,24,43,19,19,19
8541,23,18,16,12,20,10,9,9
8542,33,22,22,22,30,9,9,9
8543,52,41,25,25,51,18,18,18
8544,63,43,40,40,59,36,29,29
8545,26,13,13,13,22,9,9,9
8546,37,32,28,28,34,9,9,9
8547,58,33,33,33,46,17,15,15
8548,26,19,19,19,25,13,13,13
8549,66,18,16,16,35,15,11,11
8550,32,10,10,10,21,9,9,9
8551,39,21,19,19,35,14,14,14
8552,52,37,31,30,51,15,14,14
8553,35,25,25,23,32,9,9,9
8554,50,27,27,27,44,17,15,15
8555,61,18,17,16,59,16,16,16
8556,68,12,12,12,61,9,9,9
8557,34,17,15,15,24,12,10,10
8558,34,28,14,14,32,10,10,10
8559,50,18,10,10,38,9,9,9
8560,24,12,12,12,20,11,10,10
8561,59,10,10,10,28,9,9,9
8562,71,25,22,22,60,16,15,15
8563,28,17,17,17,27,12,10,10
8564,19,17,17,17,18,16,16,16
8565,71,19,17,17,58,19,16,16
8566,112,15,15,15,57,18,12,12
8567,55,26,21,20,46,13,13,13
8568,46,32,25,25,41,16,13,13
8569,39,30,27,27,38,24,23,23
8570,40,19,19,19,39,15,14,14
8571,59,13,13,12,58,12,12,12
8572,62,41,33,33,57,17,16,16
8573,40,26,10,10,37,10,10,10
8574,29,13,13,13,26,10,9,9
8575,35,18,18,17,30,21,18,18
8576,52,25,22,22,49,12,12,12
8577,58,41,36,36,49,22,19,17
8578,32,22,20,20,25,16,15,15
8579,29,14,12,12,22,9,9,9
8580,54,17,17,15,53,14,13,13
8581,34,11,11,11,31,9,9,9
8582,33,16,16,16,31,18,14,20
8583,21,14,14,14,19,11,11,11
8584,42,27,24,24,41,22,21,22
8585,32,20,19,19,23,10,10,10
8586,32,30,21,21,31,18,16,16
8587,45,17,17,17,40,15,15,15
8588,19,16,15,15,18,11,11,11
8589,20,15,14,14,17,14,13,13
8590,46,38,36,36,43,25,19,19
8591,58,30,15,15,46,10,10,10
8592,26,20,19,19,21,13,13,13
8593,55,11,11,11,32,9,9,9
8594,55,35,33,33,48,20,19,19
8595,83,23,24,23,49,15,15,15
8596,61,38,36,36,44,18,16,16
8597,25,17,17,17,23,13,13,13
8598,27,16,16,16,18,10,10,10
8599,61,35,33,33,52,13,13,13
8600,49,26,25,25,44,19,16,16
8601,22,16,15,15,21,14,13,13
8602,34,25,19,19,33,14,13,13
8603,48,10,9,9,41,9,9,9
8604,35,13,13,13,32,10,10,10
8605,48,41,39,39,45,22,19,19
8606,42,25,25,22,31,19,15,14
8607,32,26,24,24,30,13,13,13
8608,52,42,24,24,47,16,14,14
8609,62,10,10,10,56,10,10,10
8610,81,32,30,30,63,21,20,20
8611,40,16,15,15,37,10,10,10
8612,85,32,32,32,69,13,9,9
8613,56,43,40,38,46,32,28,28
8614,41,24,22,22,34,19,19,19
8615,39,13,11,9,36,13,9,9
8616,20,15,9,9,17,9,9,9
8617,43,25,24,24,40,18,16,16
8618,26,14,14,12,23,16,9,9
8619,40,22,21,20,29,15,12,12
8620,20,15,14,14,19,12,12,12
8621,32,10,10,10,16,10,10,10
8622,33,18,12,12,32,10,10,10
8623,56,21,20,20,42,10,10,10
8624,19,13,13,12,16,9,9,9
8625,24,13,12,12,21,12,12,12
8626,24,18,17,17,21,10,10,10
8627,44,35,9,9,40,9,9,9
8628,23,14,14,14,22,10,10,10
8629,44,13,10,10,38,9,9,9
8630,34,10,10,9,31,9,9,9
8631,36,33,21,21,35,13,13,13
8632,58,23,21,21,55,13,13,13
8633,39,25,20,20,36,12,12,12
8634,57,44,38,38,48,9,9,9
8635,24,19,19,19,23,10,10,10
8636,29,13,12,12,22,10,10,10
8637,26,16,16,16,23,11,11,11
8638,64,40,37,37,58,23,18,18
8639,29,20,18,18,26,11,11,11
8640,40,22,21,21,33,11,11,11
8641,25,11,11,11,24,10,10,10
8642,42,15,15,15,34,10,10,10
8643,33,19,16,16,24,12,12,12
8644,27,17,17,17,26,13,12,12
8645,42,35,33,32,41,13,11,11
