,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
1010,"{'nodes': 1147, 'edges': 1792}","{'nodes': 252, 'edges': 463}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 1128, 'edges': 1759}","{'nodes': 21, 'edges': 26}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1011,"{'nodes': 2493, 'edges': 3878}","{'nodes': 245, 'edges': 436}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 3397, 'edges': 5473}","{'nodes': 37, 'edges': 48}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1012,"{'nodes': 195, 'edges': 322}","{'nodes': 150, 'edges': 264}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 197, 'edges': 323}","{'nodes': 17, 'edges': 22}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1013,"{'nodes': 390, 'edges': 611}","{'nodes': 247, 'edges': 451}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 420, 'edges': 644}","{'nodes': 26, 'edges': 33}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}"
1014,"{'nodes': 2082, 'edges': 3273}","{'nodes': 190, 'edges': 336}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2656, 'edges': 4162}","{'nodes': 18, 'edges': 23}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1015,"{'nodes': 2847, 'edges': 4416}","{'nodes': 210, 'edges': 374}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2777, 'edges': 4304}","{'nodes': 19, 'edges': 24}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1016,"{'nodes': 666, 'edges': 1023}","{'nodes': 243, 'edges': 436}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 854, 'edges': 1276}","{'nodes': 35, 'edges': 46}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}"
1017,"{'nodes': 1565, 'edges': 2452}","{'nodes': 195, 'edges': 346}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2520, 'edges': 3922}","{'nodes': 18, 'edges': 23}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1018,"{'nodes': 940, 'edges': 1447}","{'nodes': 82, 'edges': 140}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 938, 'edges': 1447}","{'nodes': 15, 'edges': 20}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1019,"{'nodes': 3020, 'edges': 4826}","{'nodes': 268, 'edges': 480}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2948, 'edges': 4719}","{'nodes': 22, 'edges': 27}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
