var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_2,0,1,41
g_90,0,1,5
g_92,0,1,24
g_113,1,3,29
g_128,7,42,33
g_130,1,2,30
g_243,0,0,0
g_244,2,0,28
g_245,0,1,17
g_321,0,0,2
g_358,0,1,1
g_431,1,1,0
g_629,1,2,1
g_696,1,2,15
g_927,0,0,6
g_942,0,1,1
g_945,0,0,0
g_946,0,1,6
g_991,0,1,8
g_999,0,1,4
g_1061,0,1,1
g_1086,0,0,4
g_1103,0,1,0
crc32_context,0,4,32
crc32_tab,0,0,5
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
_IO_stdin_used,0,0,0
