var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_13,0,0,3
g_15,1,2,1
g_44,0,0,74
g_99,0,1,2
g_129,0,1,2
g_132,0,0,5
g_133,0,2,11
g_135,0,0,2
g_167,1,1,2
g_196,0,0,3
g_198,2,2,4
g_218,0,0,5
g_270,0,0,6
g_274,0,0,45
g_275,1,1,6
g_291,1,2,4
g_292,0,0,4
g_298,1,0,4
g_322,4,8,17
g_391,0,2,5
g_438,0,0,3
g_639,1,2,5
g_877,1,1,31
g_945,0,0,0
g_946,0,0,1
g_958,0,0,1
g_1043,0,0,1
g_1089,0,0,2
g_1158,0,0,0
g_1166,1,1,1
g_1168,0,1,2
g_1195,0,2,3
g_1205,0,0,1
g_1268,0,1,1
g_1383,0,0,0
g_1390,0,1,2
g_1413,0,0,0
g_1427,0,0,1
g_1475,0,0,1
g_1493,0,0,0
g_1535,0,0,0
g_1584,0,0,0
g_1618,0,0,0
g_1645,0,0,1
g_1664,0,0,1
g_503,0,0,9
g_643,0,0,6
g_308,0,0,30
g_117,0,0,24
g_307,0,0,11
g_378,0,0,14
g_379,0,0,11
g_382,0,2,11
g_118,0,0,18
g_642,0,0,4
g_502,0,0,7
g_380,0,0,9
g_1670,0,0,1
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,45,0
_IO_stdin_used,0,0,0
