name, constant_write, var_write, read
crc32_tab, 0, 0, 0
crc32_context, 0, 8, 37
__undefined, 0, 0, 0
g_2, 0, 0, 0
g_4, 0, 0, 1
g_26, 0, 0, 0
g_31, 0, 0, 0
g_30, 0, 0, 0
g_73, 0, 0, 0
g_72, 0, 0, 0
g_74, 0, 0, 0
g_95, 0, 0, 0
g_102, 0, 0, 0
g_105, 0, 0, 1
g_107, 0, 0, 1
g_129, 0, 0, 0
g_132, 0, 0, 1
g_141, 0, 0, 0
g_152, 0, 0, 1
g_159, 0, 0, 0
g_158, 0, 0, 0
g_157, 0, 0, 0
g_164, 0, 0, 0
g_227, 0, 0, 0
g_230, 0, 0, 0
g_232, 0, 0, 0
g_298, 0, 0, 0
g_445, 0, 0, 1
g_477, 0, 0, 1
g_644, 0, 0, 0
g_643, 0, 0, 0
g_642, 0, 0, 0
g_745, 0, 0, 1
g_919, 0, 0, 0
g_1031, 0, 0, 0
g_1083, 0, 0, 0
g_1119, 0, 0, 1
g_1148, 0, 0, 1
_DYNAMIC, 0, 0, 0
_GLOBAL_OFFSET_TABLE_, 0, 0, 0
_IO_stdin_used, 0, 0, 0
