  program_name  constant_write  var_write  read
0    program_2               0         16    34
1    program_7               0         33    68
2    program_1              18         13     6
3    program_8              14         51    78
4    program_0              10         10    15
5    program_5               7         47    74
6    program_4               2         20    43
7    program_3               5         37    71
8    program_9              26          0     0
9    program_6               7         12    26
