  program_name  constant_write  var_write  read
0    program_2               0        119     2
1    program_7               0        252     2
2    program_1              17          9     2
3    program_8              14        138     6
4    program_0               8         31     8
5    program_5               1        143     5
6    program_4               0         70     2
7    program_3               1        116     3
8    program_9              20          2     1
9    program_6               2         22     2
