  program_name  constant_write  var_write  read
0    program_2               0          8    48
1    program_7               5         19   275
2    program_1              11         66   564
3    program_8               7         36   336
4    program_0              22         20   357
5    program_5              12         99   216
6    program_4               1          5    54
7    program_3              12         28   314
8    program_9               3         26    16
9    program_6               6         11   183
