  program_name  constant_write  var_write  read
0    program_2               0          8    18
1    program_7               1          8    21
2    program_1              16         20     8
3    program_8              11         26    26
4    program_0              11         12    19
5    program_5              14         14    26
6    program_4               2          4    12
7    program_3               6         13    24
8    program_9              26          2     0
9    program_6               9          9    26
