name, constant_write, var_write, read
crc32_tab, 0, 0, 0
crc32_context, 0, 4, 29
__undefined, 0, 0, 0
g_2, 2, 1, 3
g_19, 0, 0, 0
g_22, 0, 0, 1
g_29, 0, 0, 0
g_28, 0, 0, 0
g_42, 0, 0, 1
g_48, 0, 0, 0
g_60, 0, 0, 1
g_96, 0, 0, 0
g_95, 0, 0, 0
g_98, 0, 0, 1
g_111, 0, 0, 0
g_120, 0, 0, 1
g_154, 0, 0, 0
g_159, 0, 0, 0
g_158, 0, 0, 0
g_163, 0, 0, 0
g_164, 0, 0, 1
g_197, 0, 0, 0
g_280, 0, 0, 0
g_279, 0, 0, 0
g_290, 0, 0, 0
g_316, 0, 0, 0
g_353, 0, 0, 0
g_352, 0, 0, 0
g_457, 0, 0, 0
g_458, 0, 0, 0
g_471, 0, 0, 1
g_486, 0, 0, 1
g_528, 0, 0, 1
g_550, 0, 0, 0
g_602, 0, 0, 1
g_613, 0, 0, 0
g_612, 0, 0, 0
__PRETTY_FUNCTION__.5, 0, 0, 0
__PRETTY_FUNCTION__.4, 0, 0, 0
__PRETTY_FUNCTION__.3, 0, 0, 0
__PRETTY_FUNCTION__.2, 0, 0, 0
__PRETTY_FUNCTION__.0, 0, 0, 0
__PRETTY_FUNCTION__.1, 0, 0, 0
_DYNAMIC, 0, 0, 0
_GLOBAL_OFFSET_TABLE_, 0, 0, 0
_IO_stdin_used, 0, 0, 0
