var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
crc32_tab,0,0,0
crc32_context,0,0,0
__undefined,0,0,0
g_27,0,0,0
g_36,2,4,0
g_38,1,5,19
g_49,0,4,0
g_59,1,3,0
g_92,0,4,0
g_98,0,1,14
g_112,0,2,13
g_124,1,3,0
g_135,0,3,0
g_141,0,4,0
g_175,1,8,0
g_177,1,3,0
g_180,0,3,0
g_183,2,2,0
g_184,0,2,0
g_186,0,3,0
g_229,1,4,0
g_230,1,2,5
g_256,0,5,0
g_261,2,2,13
g_262,0,1,7
g_291,0,1,6
g_359,0,0,9
g_408,1,2,0
g_409,1,2,0
g_424,2,16,15
g_425,0,2,0
g_462,0,1,0
g_496,0,1,0
g_499,0,3,0
g_568,3,4,10
g_622,0,2,0
g_782,1,1,0
g_783,0,4,5
g_788,0,0,0
g_789,0,1,4
g_847,1,0,3
g_848,0,3,2
g_852,0,2,5
g_856,0,3,0
g_905,0,0,0
g_925,0,0,0
g_927,0,0,2
g_963,0,0,0
g_1030,0,0,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,45,0
_IO_stdin_used,0,0,0
