name, constant_write, var_write, read
crc32_tab, 0, 0, 0
crc32_context, 0, 4, 24
__undefined, 0, 0, 0
g_8, 0, 0, 1
g_10, 3, 1, 7
g_17, 2, 2, 0
g_48, 1, 1, 0
g_76, 0, 0, 1
g_82, 7, 3, 6
g_91, 0, 0, 0
g_90, 1, 0, 0
g_110, 0, 0, 0
g_109, 0, 0, 0
g_119, 0, 0, 1
g_120, 0, 0, 4
g_122, 1, 0, 4
g_124, 1, 1, 0
g_134, 0, 0, 0
g_145, 0, 0, 0
g_152, 0, 0, 5
g_201, 1, 1, 0
g_219, 1, 1, 0
g_317, 2, 1, 3
g_350, 0, 0, 0
g_370, 0, 1, 2
g_397, 1, 1, 0
g_440, 1, 1, 0
g_443, 1, 1, 0
g_444, 1, 1, 0
g_474, 0, 0, 0
_DYNAMIC, 0, 0, 0
_GLOBAL_OFFSET_TABLE_, 0, 0, 0
_IO_stdin_used, 0, 0, 0
