var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_158,1,0,4
g_18,0,1,3
g_19,2,1,7
g_33,1,1,30
g_40,0,0,3
g_42,0,0,3
g_45,0,0,3
g_102,0,0,1
g_120,0,0,1
g_127,0,0,2
g_134,0,0,0
g_138,1,0,2
g_204,0,0,1
g_205,0,0,1
g_222,0,0,0
g_301,1,0,4
g_329,0,0,0
g_336,0,0,0
g_390,0,0,0
g_437,0,0,2
g_458,0,0,0
g_550,0,0,2
g_976,0,0,1
g_1013,0,0,0
g_1051,0,0,2
g_1061,0,0,1
g_435,0,0,3
g_738,0,0,2
g_737,0,0,2
g_157,0,0,2
g_622,0,0,1
g_596,0,0,1
g_533,0,0,3
g_302,0,0,1
g_436,0,0,0
g_621,0,0,0
g_944,0,0,0
g_156,0,0,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,2,25,0
_IO_stdin_used,0,0,0
